param,grid,negloglik
alpha,0.0,20427562011241.82
alpha,0.1,20427562009600.047
alpha,0.2,20427562011294.234
alpha,0.30000000000000004,20427562009176.746
alpha,0.4,20427562008960.508
alpha,0.5,20427562012215.875
alpha,0.6000000000000001,20427562012569.895
alpha,0.7000000000000001,20427562011205.582
alpha,0.8,20427562012250.19
alpha,0.9,20427562013680.3
alpha,1.0,20427562011774.777
alpha,1.1,20427562011640.785
alpha,1.2000000000000002,20427562010248.562
alpha,1.3,20427562015218.465
alpha,1.4000000000000001,20427562015609.434
alpha,1.5,20427562010184.41
alpha,1.6,20427562008777.234
alpha,1.7000000000000002,20427562016794.664
alpha,1.8,20427562010238.965
alpha,1.9000000000000001,20427562008589.168
alpha,2.0,20427562017997.117
