param,grid,negloglik
beta0,0.05,20427561999138.883
beta0,0.0975,20427561999041.33
beta0,0.14500000000000002,20427568311087.67
beta0,0.1925,20427561999074.355
beta0,0.24,20427561999031.39
beta0,0.2875,20427562065915.51
beta0,0.335,20427562343459.26
beta0,0.3825,20427561999030.41
beta0,0.43,20427561999030.31
beta0,0.4775,20427562023641.277
beta0,0.525,20427562102566.074
beta0,0.5725,20427561999033.066
beta0,0.6200000000000001,20427561999079.29
beta0,0.6675000000000001,20427562016619.164
beta0,0.7150000000000001,20427562026807.027
beta0,0.7625000000000001,20427562010890.92
beta0,0.81,20427562011950.387
beta0,0.8575,20427562012846.01
beta0,0.905,20427562008944.402
beta0,0.9525,20427562010176.895
beta0,1.0,20427562009784.1
