f,Pxx
0.0,73181349.76704882
0.008264462809917356,242848551.98867804
0.01652892561983471,68714218.45788062
0.024793388429752067,662091.6601581285
0.03305785123966942,9143.230124778534
0.04132231404958678,534.5049360577077
0.049586776859504134,140.70395655213116
0.05785123966942149,54.989472556798255
0.06611570247933884,23.80289858386449
0.0743801652892562,11.580660171401243
0.08264462809917356,6.128490743828227
0.09090909090909091,3.4620177707068858
0.09917355371900827,2.0601571145669384
0.10743801652892562,1.280785794033672
0.11570247933884298,0.8245071858193344
0.12396694214876033,0.5470857402750027
0.1322314049586777,0.37086417740439886
0.14049586776859505,0.2552951386609774
0.1487603305785124,0.1779744650093662
0.15702479338842976,0.12518441561571803
0.1652892561983471,0.08894748703224475
0.17355371900826447,0.06433929700674977
0.18181818181818182,0.04730551404805339
0.19008264462809918,0.035473561107983005
0.19834710743801653,0.02698007068216302
0.2066115702479339,0.02058836205361848
0.21487603305785125,0.01568391398260635
0.2231404958677686,0.011877863177406795
0.23140495867768596,0.008980008801964716
0.2396694214876033,0.006866023675303397
0.24793388429752067,0.0053626951978062885
0.25619834710743805,0.004317840539488625
0.2644628099173554,0.003549105723532574
0.2727272727272727,0.0029210314171472626
0.2809917355371901,0.002374879884898446
0.2892561983471075,0.0018768458499179425
0.2975206611570248,0.001456037690952895
0.30578512396694213,0.0011281251106210418
0.3140495867768595,0.0008991310931682009
0.3223140495867769,0.0007541747860855827
0.3305785123966942,0.0006584749773983674
0.33884297520661155,0.0005794245503152473
0.34710743801652894,0.0004948185489655417
0.3553719008264463,0.00040030156166469385
0.36363636363636365,0.00030592965539725646
0.371900826446281,0.00022672435728850115
0.38016528925619836,0.00017171438061997204
0.38842975206611574,0.0001419729630368443
0.39669421487603307,0.00012870779330252603
0.4049586776859504,0.00011996004289576272
0.4132231404958678,0.0001068730516398658
0.42148760330578516,8.619052162773698e-05
0.4297520661157025,6.133823274614836e-05
0.4380165289256198,3.8284764681865634e-05
0.4462809917355372,2.18959219971053e-05
0.4545454545454546,1.3558833528442746e-05
0.4628099173553719,1.111953461976464e-05
0.47107438016528924,1.1049436772603366e-05
0.4793388429752066,1.0658220896677074e-05
0.487603305785124,9.36082936020077e-06
0.49586776859504134,8.151047852677802e-06
