mu,inc,y
600.4970211924813,0.0,1291.0
486.21740761748964,1712.5842042509466,1463.0
413.2839279721798,1812.7274945378304,1393.0
386.1489388455534,1918.4861413594335,1258.0
386.5687801555963,2030.145479053259,1152.0
400.86436360651214,2148.0017335675657,1292.0
421.7281477570122,2272.361947948113,1557.0
445.8456802515995,2403.543848760426,1987.0
471.9076324611698,2541.875626143068,1981.0
499.49126007394716,2687.6956149451435,2029.0
528.5259978905294,2841.3518639057875,1715.0
559.0646883715007,3003.20157879591,1642.0
591.1952879370685,3173.610424714163,2164.0
625.0110946748532,3352.951671026647,2673.0
660.6029927372881,3541.605163825676,3360.0
698.1228647286462,3739.9561065007,4038.0
737.5118370013677,3948.393625639379,4325.0
778.938863397321,4167.309117607772,4704.0
822.4874064582777,4397.094328068197,4404.0
868.2416671923552,4638.139191230759,6582.0
916.2862117341484,4890.829358998686,8282.0
966.7055439948249,5155.543476488441,11399.0
1019.5836186527936,5432.649916367605,11793.0
1075.0032859916003,5722.503301685676,11646.0
1133.0456766450036,6025.441444672644,10582.0
1193.789525005456,6341.780169375241,10504.0
1257.3104006921715,6671.809157514945,13446.0
1323.679864192397,7015.787125915289,15472.0
1392.9645612373401,7373.937369754538,18775.0
1465.2252246542591,7746.438996259123,18683.0
1540.5155445456824,8133.423598790541,16993.0
1618.881017475267,8534.969588687643,14798.0
1700.3577447308767,8951.0933414381,14130.0
1784.9711095322982,9381.74288383685,14031.0
1872.734377236627,9826.79099335149,17659.0
1963.6472437548337,10286.027752704918,17919.0
2057.6943352414783,10759.153182368726,16405.0
2154.843669073399,11245.769913302734,13799.0
2255.045091280297,11745.376011542976,9286.0
2358.2287089965416,12257.358086543158,8225.0
2464.303330442478,12780.984107818455,7421.0
2573.1549364298967,13315.398372851312,7442.0
2684.645278914443,13859.619199603796,6915.0
2798.6106011757197,14412.528897818178,6376.0
2914.8603772894785,14972.873466789722,5514.0
3033.176286530893,15539.264702331275,5203.0
3153.3113893721916,16110.168033260852,4257.0
3274.989391141153,16683.915410818532,4595.0
3397.904433585186,17258.709500059485,5209.0
3521.721281895027,17832.621497251093,4932.0
3646.075700395369,18403.601073699072,4518.0
3770.575200236248,18969.48648286145,4025.0
3894.800245891781,19528.01619687397,3248.0
4018.3059717424403,20076.846221294254,2756.0
4140.62439397653,20613.5607366506,3463.0
4261.266994929919,21135.6937501505,4175.0
4379.727819006381,21640.75038240198,3671.0
4495.487058491504,22126.226796676405,3602.0
4608.015077481204,22589.6378539335,3257.0
4716.776912134033,23028.540592876263,2687.0
4821.237103805491,23440.558887620457,2516.0
4920.864784850381,23823.410694458522,3156.0
5015.138998591605,24174.934178709053,3809.0
5103.554176641436,24493.11326432973,3532.0
5185.625675561008,24776.102035080083,2911.0
5260.895266467446,25022.247339373454,2880.0
5328.936483509836,25230.11051996518,2240.0
5389.359734681112,25398.484508217312,2110.0
5441.817007403322,25526.406969523057,2935.0
5486.006093212643,25613.175935242325,3065.0
5521.674418518328,25658.36249554716,2669.0
5548.622232638379,25661.800468725152,2425.0
5566.704875320189,25623.601699895225,2129.0
5575.834499997514,25544.14803702198,1566.0
5575.981043368649,25424.085819259286,1575.0
5567.172325628069,25264.30999248009,1934.0
5549.49324398166,25065.955630313605,1981.0
5523.08435068566,24830.386243310757,1894.0
5488.1398208580185,24559.16775475163,1710.0
5444.904613227275,24254.049560715444,1477.0
5393.670990677289,23916.94211816322,1170.0
5334.774520275951,23549.892612287775,1180.0
5268.58964065949,23155.061060468666,1619.0
5195.524891110706,22734.69434855692,1634.0
5116.0179101977365,22291.10478824936,1454.0
5030.530349349429,21826.644447948784,1315.0
4939.542654850226,21343.67768815346,1044.0
4843.548797468675,20844.564940620214,951.0
4743.0512357236175,20331.642108536325,910.0
4638.556113494396,19807.2003473863,1288.0
4530.568674625364,19273.469828225672,1199.0
4419.588986005736,18732.606213059276,1143.0
4306.108028078823,18186.676537397318,1218.0
4190.604160728874,17637.650217164308,1047.0
4073.5400270760388,17087.390291656367,807.0
3955.359826182149,16537.642109988257,784.0
3836.486974438662,15990.036932253279,1292.0
3717.322333621472,15446.084241961129,1327.0
3598.2427932150986,14907.169620350935,1231.0
3479.6001848932756,14374.555966641754,1109.0
3361.720573616571,13849.384551982395,1000.0
3244.9038944131476,13332.677240760997,745.0
3129.4238937089285,12825.339750666171,719.0
3015.528341260756,12328.165713969618,1302.0
2903.43948013682,11841.841384210624,1426.0
2793.354677403094,11366.950493318029,1506.0
2685.4472393010815,10903.97999428492,1350.0
2579.867407088836,10453.328714056872,1209.0
2476.7434909946032,10015.308587706648,946.0
2376.182998204422,9590.152856116183,1086.0
2278.273857650935,9178.024405528791,1707.0
2183.085700648209,8779.016160867177,2276.0
2090.671090332001,8393.162163557485,2376.0
2001.066866424869,8020.444327917881,2200.0
1914.2955136702785,7660.793789722957,2139.0
1830.36640841404,7314.097564290278,1636.0
1749.2770170585984,6980.204048600979,1770.0
1671.0140752769385,6658.927746103145,2897.0
1595.5547295768977,6350.053559027612,3142.0
1522.8676142037225,6053.340305936523,3551.0
1452.9138770555319,5768.526824521832,3098.0
