param,grid,negloglik
alpha,0.0,5.0132575163496145e+19
alpha,0.1,5.013257516349581e+19
alpha,0.2,5.013257516349581e+19
alpha,0.30000000000000004,5.013257516349581e+19
alpha,0.4,5.013257516349581e+19
alpha,0.5,5.013257516349581e+19
alpha,0.6000000000000001,5.013257516349581e+19
alpha,0.7000000000000001,5.013257516349581e+19
alpha,0.8,5.013257516349581e+19
alpha,0.9,5.013257516349581e+19
alpha,1.0,5.013257516349581e+19
alpha,1.1,5.013257516349581e+19
alpha,1.2000000000000002,5.013257516349581e+19
alpha,1.3,5.013257516349581e+19
alpha,1.4000000000000001,5.013257516349581e+19
alpha,1.5,5.013257516349581e+19
alpha,1.6,5.013257516349581e+19
alpha,1.7000000000000002,5.013257516349581e+19
alpha,1.8,5.013257516349581e+19
alpha,1.9000000000000001,5.013257516349581e+19
alpha,2.0,5.013257516349581e+19
