mu,inc,y
1e-12,0.0,1291.0
25.159222740823175,36.973176561295986,1463.0
32.736193100357745,48.10804609954357,1393.0
49.20348838557782,72.30784838832915,1258.0
74.75322805952689,109.85491595044732,1152.0
112.90791814630443,165.92580922693014,1292.0
170.35901449447783,250.35407439246774,1557.0
257.1109560992728,377.8419100474566,1987.0
387.8365356842126,569.9519758019596,1981.0
583.7166868301601,857.8110836837441,2029.0
874.1084148457747,1284.5613351706415,1715.0
1296.1790245447544,1904.8225942123681,1642.0
1887.3976111702382,2773.6582261715084,2164.0
2660.0236933454835,3909.084421424195,2673.0
3545.4409247250364,5210.264826059341,3360.0
4333.559276671406,6368.457957774401,4038.0
4741.4444300856185,6967.872731007636,4325.0
4694.773977517469,6899.287349782884,4704.0
4427.219449425127,6506.097905544564,4404.0
4170.18440611935,6128.367554472759,6582.0
3984.177921348109,5855.018465995789,8282.0
3849.7557744368323,5657.476044964045,11399.0
3743.3978905715735,5501.175953369588,11793.0
3651.9335190318475,5366.762883743271,11646.0
3569.2462436432274,5245.248349538073,10582.0
3492.6676474972724,5132.710931936279,10504.0
3421.0744142532503,5027.499841729179,13446.0
3354.0198170038248,4928.958583563566,15472.0
3291.3471570394768,4836.856878105551,18775.0
3233.015914049131,4751.135178022087,18683.0
3179.0208523987503,4671.785789195448,16993.0
3129.35335308664,4598.796045420691,14798.0
3083.982382014702,4532.12033999525,14130.0
3042.8451622444886,4471.666417969391,14031.0
3005.8431984851545,4417.289533862844,17659.0
2972.840883475567,4368.790403649211,17919.0
2943.6666655664317,4325.916920596734,16405.0
2918.1154781938167,4288.367725543678,13799.0
2895.952693551272,4255.798017086461,9286.0
2876.919263009617,4227.827105773613,8225.0
2860.737390941091,4204.046752173454,7421.0
2847.1171128766887,4184.030833920464,7442.0
2835.763070404048,4167.345301885158,6915.0
2826.38115583318,4153.55794495903,6376.0
2818.6849486395854,4142.247848842293,5514.0
2812.401000924133,4133.01316338405,5203.0
2807.2745217877,4125.47945615463,4257.0
2803.0719732170096,4119.3035272751,4595.0
2799.5842245570916,4114.178045127541,5209.0
2796.6279180279143,4109.833553073928,4932.0
2794.0457470968704,4106.038878543302,4518.0
2791.7060224979627,4102.600495267659,4025.0
2789.5012895535137,4099.360491342843,3248.0
2787.346315194059,4096.19361101836,2756.0
2785.1759169198717,4093.0040642097592,3463.0
2782.9424477308194,4089.7218304332346,4175.0
2780.613400798709,4086.2991387099028,3671.0
2778.1685899374093,4082.70632407628,3602.0
2775.597952872594,4078.928599340841,3257.0
2772.8994285296853,4074.962935615331,2687.0
2770.0765624755586,4070.8145433496684,2516.0
2767.137775489689,4066.4957974478602,3156.0
2764.094165084769,4062.02300645411,3809.0
2760.958585322432,4057.415060279891,3532.0
2757.744748428335,4052.6921099666506,2911.0
2754.466462704268,4047.8744477462023,2880.0
2751.1371056652506,4042.981732780114,2240.0
2747.769224877617,4038.032404564321,2110.0
2744.3742721801937,4033.0432923492044,2935.0
2740.9624921626737,4028.02945125103,3065.0
2737.542697041167,4023.0038314163685,2669.0
2734.122442321837,4017.9775361716747,2425.0
2730.708003829125,4012.9597882647067,2129.0
2727.3044725803134,4007.958069289103,1566.0
2723.915802385675,4002.978189636022,1575.0
2720.5449675494124,3998.024520246312,1934.0
2717.194098019614,3993.100191222504,1981.0
2713.8645858805276,3988.207248326391,1894.0
2710.557213106779,3983.3468407224864,1710.0
2707.2722738712423,3978.5194007176906,1477.0
2704.0096734159624,3973.7247890587896,1170.0
2700.769014902311,3968.9624225646257,1180.0
2697.5496941081055,3964.2314132899046,1619.0
2694.3509781811135,3959.530684258789,1634.0
2691.1720245371575,3954.8589972369373,1454.0
2688.0119646581816,3950.2150758784264,1315.0
2684.869917446408,3945.5976253505796,1044.0
2681.745077238038,3941.0054616760463,951.0
2678.636654803398,3936.4374250285327,910.0
2675.543918546327,3931.892440278083,1288.0
2672.46624131469,3927.3695857822895,1199.0
2669.402961217302,3922.867888847366,1143.0
2666.3536247288303,3918.386682987213,1218.0
2663.317797095297,3913.9253293015063,1047.0
2660.295106217986,3909.4832809660584,807.0
2657.285240251572,3905.0600797031075,784.0
2654.287942246487,3900.6553479079157,1292.0
2651.3030009178783,3896.2687750831246,1327.0
2648.3302418176177,3891.900104865432,1231.0
2645.3695223417058,3887.5491276886314,1109.0
2642.420722950448,3883.2156678810716,1000.0
2639.483749249656,3878.8995867241174,745.0
2636.558515261196,3874.600757867098,719.0
2633.644944085884,3870.319068301469,1302.0
2630.742967404097,3866.0544176269323,1426.0
2627.8525194280005,3861.8067091638222,1506.0
2624.9735352607963,3857.5758475419134,1350.0
2622.105949216049,3853.361736230552,1209.0
2619.24969348683,3849.16427558288,946.0
2616.4046974150187,3844.983361762017,1086.0
2613.570887152251,3840.818886242807,1707.0
2610.7481854900784,3836.67073556222,2276.0
2607.9365119398167,3832.538791436702,2376.0
2605.1357829993526,3828.4229311542585,2200.0
2602.345912540992,3824.3230281444266,2139.0
2599.5668122392303,3820.2389526069164,1636.0
2596.7983920409933,3816.1705722026527,1770.0
2594.040560645373,3812.117752758786,2897.0
2591.293225984635,3808.080358975567,3142.0
2588.5563554801483,3804.0583429764956,3551.0
2585.830473988398,3800.0524760736153,3098.0
