param,grid,negloglik
beta0,0.05,5.013257516350244e+19
beta0,0.0975,5.0132575163501674e+19
beta0,0.14500000000000002,5.0132575163501e+19
beta0,0.1925,5.013257516350032e+19
beta0,0.24,5.013257516349958e+19
beta0,0.2875,5.013257516349884e+19
beta0,0.335,5.013257516349813e+19
beta0,0.3825,5.013257516349744e+19
beta0,0.43,5.013257516349679e+19
beta0,0.4775,5.013257516349626e+19
beta0,0.525,5.013257516349598e+19
beta0,0.5725,5.013257516349589e+19
beta0,0.6200000000000001,5.013257516349585e+19
beta0,0.6675000000000001,5.0132575163495825e+19
beta0,0.7150000000000001,5.013257516349582e+19
beta0,0.7625000000000001,5.013257516349582e+19
beta0,0.81,5.013257516349581e+19
beta0,0.8575,5.013257516349581e+19
beta0,0.905,5.013257516349581e+19
beta0,0.9525,5.013257516349581e+19
beta0,1.0,5.013257516349581e+19
