,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,1.0e6
I0_anchor,1014.7317760108454
C0_anchor,826.9702789508688
R0_anchor,7080535.978667156
P0_anchor,0.10414039275107168
F0_anchor,0.15396185084976502
beta0,1.100609236675256
gamma,0.3349925478202171
alpha,1.1860201257102778
rho_obs,0.6804723067035626
delta,0.6440265660198505
k,7.9999925
log_theta,2.6483861935037245
I0,46.248578115144376
C0,67.01574899578546
P0,0.696824381046093
F0,0.8546723073642177
R0,100.0
a1,0.27031637463858665
b1,0.39165846849717306
a2,0.41499599151994115
b2,-0.0002609741851819017
delay_mean,3.542631058422709
