param,grid,negloglik
alpha,0.0,1245.2984168526607
alpha,0.1,1075.4966471156602
alpha,0.2,1075.4829241223158
alpha,0.30000000000000004,1076.3767257478544
alpha,0.4,1079.5263620326907
alpha,0.5,1083.555939830137
alpha,0.6000000000000001,1087.5719315403874
alpha,0.7000000000000001,1091.1424857071556
alpha,0.8,1094.2442087469556
alpha,0.9,1097.4863146583953
alpha,1.0,1103.5530492603532
alpha,1.1,1106.931067266831
alpha,1.2000000000000002,1107.4490789843549
alpha,1.3,1110.666190616911
alpha,1.4000000000000001,1114.124513058614
alpha,1.5,1116.8092200312321
alpha,1.6,1119.7223857881863
alpha,1.7000000000000002,1122.5248390109614
alpha,1.8,1125.2206870416248
alpha,1.9000000000000001,1127.818271900881
alpha,2.0,1130.3088186781047
