param,grid,negloglik
k,0.5,1075.4633996627779
k,0.9791666666666667,1075.4883719398583
k,1.4583333333333335,1075.5291400823219
k,1.9375,1076.4230935340063
k,2.416666666666667,1052.6957146340042
k,2.8958333333333335,1053.1769215817335
k,3.375,1053.1418021358068
k,3.854166666666667,1086.8718593809053
k,4.333333333333334,1053.0534874003497
k,4.8125,1053.0111076801754
k,5.291666666666667,1052.969547650495
k,5.770833333333334,1089.161236577642
k,6.25,1086.5964794548452
k,6.729166666666667,1052.8487630256116
k,7.208333333333334,1095.2019420481888
k,7.6875,1117.9929195479424
k,8.166666666666668,1076.930189864913
k,8.645833333333334,1051.3019022194426
k,9.125,1083.9335087219224
k,9.604166666666668,1079.9041705951497
k,10.083333333333334,1085.9658945381454
k,10.5625,1085.8855076635314
k,11.041666666666668,1128.7815888471016
k,11.520833333333334,1172.2560652555806
k,12.0,1077.5211017608804
