param,grid,negloglik
alpha,0.0,1315.5022995347617
alpha,0.1,1050.5199933170888
alpha,0.2,1040.7754663167582
alpha,0.30000000000000004,1061.012362740275
alpha,0.4,1061.6916163469793
alpha,0.5,1062.2358694035927
alpha,0.6000000000000001,1062.6994313398138
alpha,0.7000000000000001,1018.2123652094344
alpha,0.8,1063.5157182662072
alpha,0.9,1063.8822243306029
alpha,1.0,1064.1652575636258
alpha,1.1,1064.8399505082489
alpha,1.2000000000000002,1066.9270828038123
alpha,1.3,1019.707880813985
alpha,1.4000000000000001,1031.3006422561532
alpha,1.5,1019.8955450125022
alpha,1.6,1068.9459577801329
alpha,1.7000000000000002,1019.9872971913434
alpha,1.8,1070.4857952781565
alpha,1.9000000000000001,1020.130607138599
alpha,2.0,1020.1786623411257
