param,grid,negloglik
beta0,0.05,2135.967443539639
beta0,0.0975,1537.7278454621721
beta0,0.14500000000000002,1328.2184308797605
beta0,0.1925,1230.833975738962
beta0,0.24,1421.4801673749726
beta0,0.2875,1351.3248946985739
beta0,0.335,1334.437114440888
beta0,0.3825,1321.1035079891687
beta0,0.43,1317.887980580648
beta0,0.4775,1286.268876581991
beta0,0.525,1091.2231670489355
beta0,0.5725,1262.6652290176678
beta0,0.6200000000000001,1264.3205254352877
beta0,0.6675000000000001,1063.9585510223474
beta0,0.7150000000000001,1061.632983020427
beta0,0.7625000000000001,1375.9407700263826
beta0,0.81,1304.2360864578136
beta0,0.8575,1061.6021708041874
beta0,0.905,1318.572201071283
beta0,0.9525,1324.679561026205
beta0,1.0,1330.0709928463928
