mu,inc,y
1e-12,0.0,59.0
26.243353887642527,55.80616485886276,93.0
47.73977390249064,101.51803401857615,111.0
86.93663587481035,184.86967232450843,94.0
157.43950828060582,334.79315151646733,131.0
284.5632878280457,605.1202838364989,114.0
512.8888505087759,1090.6517462786287,97.0
917.2685249972016,1950.5600825641304,66.0
1608.796300836783,3421.085276417434,123.0
2695.5867899636237,5732.131702225655,119.0
4095.704501693257,8709.464560560882,132.0
5268.460157181476,11203.31484088488,150.0
5753.0510848987915,12233.79140714556,170.0
6073.351388330949,12914.906009120867,158.0
6740.52666153994,14333.645909739658,136.0
7739.881562678149,16458.761647773907,177.0
8989.957459903402,19117.0324581787,204.0
10470.814129043452,22266.055702852085,275.0
12195.607599747862,25933.807514823973,286.0
14190.501809756148,30175.92518150434,266.0
16487.364663826436,35060.175405055285,268.0
19120.945797440974,40660.45285209641,217.0
22127.18506740982,47053.1831800621,284.0
25541.545685054363,54313.77846569754,390.0
29396.95542900064,62512.259219731204,391.0
33721.182648331756,71707.67449029256,409.0
38533.53414571622,81941.07995255291,401.0
43840.893316657624,93227.11306123342,417.0
49633.20420677534,105544.3899547141,330.0
55878.56156064152,118825.06450509932,410.0
62518.5530448682,132944.9236136824,424.0
69464.17947857452,147714.71163189784,493.0
76593.40249463059,162874.91549353022,604.0
83751.10617915737,178095.68314158916,525.0
90752.36071390372,192983.76362313516,383.0
97389.54800058692,207097.65964060277,332.0
103443.55232830503,219971.42436653562,413.0
108698.26699687973,231145.50959726702,537.0
112957.15504003478,240201.9819242917,647.0
116059.7426467888,246799.5957892295,641.0
117895.73004331824,250703.80009818263,505.0
118414.49040085009,251806.93753094412,503.0
117628.52383553289,250135.5894286614,418.0
115610.34072162515,245843.9481981881,570.0
112483.53830275973,239194.84183718823,706.0
108409.72714086053,230531.93319074903,711.0
103573.40554875313,220247.55562090222,760.0
98167.00223535407,208750.90637809644,654.0
92377.79877193253,196440.23738874402,631.0
86377.81621364843,183681.34928200813,485.0
80317.11931244325,170793.35288199317,601.0
74320.39648986855,158041.3965626033,630.0
68486.1963721596,145635.04274889454,765.0
62888.22650454936,133731.0296168723,961.0
57577.9494165881,122438.79159402754,879.0
52587.85623004798,111827.4206457329,656.0
47934.914344039644,101932.99773465982,616.0
43623.939018697216,92765.76245145034,679.0
39650.5776182446,84316.45897039212,749.0
36003.879848212186,76561.80162681593,834.0
32668.42371591091,69468.99574553873,819.0
29625.953639074967,62999.22105846973,809.0
26856.733435423765,57110.50882004574,641.0
24340.464636757868,51759.69459070731,623.0
22056.990460633784,46903.91522388859,644.0
19986.769481225947,42501.61612119991,614.0
18111.197967733016,38513.23668103013,783.0
16412.802354396073,34901.61958364071,721.0
14875.310458694124,31632.162235770607,780.0
13483.712825085408,28672.94721733732,581.0
12224.238314422873,25994.690372633282,493.0
11084.309662273005,23570.646305644885,499.0
10052.481823681108,21376.477270964533,566.0
9118.36807008342,19390.09601979563,710.0
8272.561632294115,17591.49917474133,587.0
7506.556214985391,15962.598204837414,624.0
6812.668010460398,14487.053588812705,396.0
6183.961360503779,13150.116735941032,439.0
5614.178760879612,11938.481141478755,478.0
5097.675737244873,10840.143901106669,534.0
4629.361970999172,9844.280515783466,613.0
4204.645826443232,8941.126929439837,628.0
3819.3847776913403,8121.874112425838,598.0
3469.841213484106,7378.574080996215,530.0
3152.642032196352,6704.053976598429,421.0
2864.7389593975645,6091.831681659678,432.0
2603.3804789572087,5536.056131432299,583.0
2366.0809946628406,5031.441736559151,641.0
2150.5893578924506,4573.201457561227,689.0
1954.8832600647122,4157.034880453022,792.0
1777.1154398242231,3779.0138269925956,427.0
1615.6242948092663,3435.6049204734154,350.0
1468.9039517914816,3123.6059402495157,421.0
1335.5906419385144,2840.11684890138,499.0
1214.4491889333424,2582.511059390148,411.0
1104.3605862323611,2348.409018251812,411.0
1004.3109424889138,2135.654698178172,447.0
913.3815458000445,1942.2944697614294,376.0
830.7399848453483,1766.5582207066473,342.0
755.6322272318791,1606.842510530958,379.0
687.3755823090064,1461.69560607709,453.0
625.3525008454534,1329.804296603892,474.0
569.0051618425432,1209.9823827121872,556.0
517.8308174262369,1101.1607773157302,542.0
471.3779767772641,1002.3793908162042,538.0
429.24288837954936,912.7796506483573,491.0
391.0670795203041,831.599269057624,484.0
356.53560396589097,758.168516804697,535.0
325.37461857401325,691.9050698615611,641.0
297.3493816249469,632.3097528878134,667.0
272.2614861461724,578.9606559299864,597.0
249.9437835076773,531.5023395102471,586.0
230.25373060868142,489.6316875019111,502.0
213.0628667423895,453.07552981353365,525.0
198.24416653365634,421.56374856852926,723.0
185.6576617989704,394.798703169683,677.0
175.13682644570815,372.42627795715816,699.0
166.48050097667192,354.0187097680755,716.0
159.451836965312,339.0723433762323,511.0
153.78642109652563,327.02490716357715,542.0
149.20925157645055,317.2916132439859,593.0
145.45420535149583,309.30655426182784,707.0
142.28282599879157,302.56265560677275,793.0
139.49747051400823,296.6396318941843,720.0
136.94640921900302,291.2148318551481,766.0
134.5224964947031,286.06041166651994,724.0
132.1567814696125,281.02974815969355,662.0
129.81000808577738,276.03936381684616,740.0
127.46403439169738,271.0506800042931,885.0
125.11445174794149,266.05432180524804,988.0
122.76486878173543,261.05796292051673,1173.0
120.42293501797445,256.07786996942014,1008.0
118.0977018072927,251.13329053623602,817.0
115.79803391467593,246.2430754331872,719.0
113.53181737427381,241.4239942135755,922.0
111.30557919441823,236.6899264792446,1112.0
