,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,1.0e6
I0_anchor,44.39843081619263
C0_anchor,145.91818059864625
R0_anchor,8509462.785458347
P0_anchor,0.007440649352723306
F0_anchor,0.015658520594885733
beta0,1.133177561333674
gamma,0.15664569014151963
alpha,1.339146788318542
rho_obs,0.470259046720261
delta,0.6659037418947304
k,4.899770890383093
log_theta,0.201969481312819
I0,45.398369477103614
C0,63.004753273504505
P0,0.5213714411769389
F0,0.3321210559675012
R0,100.0
a1,0.11353686733174588
b1,0.01029067015447586
a2,-0.217527274921905
b2,0.04866127272529531
delay_mean,3.8099237914732282
