param,grid,negloglik
alpha,0.0,7.240925502141955e+19
alpha,0.1,7.24092550214195e+19
alpha,0.2,7.2409255021419454e+19
alpha,0.30000000000000004,7.240925502141945e+19
alpha,0.4,7.240925502141944e+19
alpha,0.5,7.240925502141944e+19
alpha,0.6000000000000001,7.240925502141944e+19
alpha,0.7000000000000001,7.240925502141944e+19
alpha,0.8,7.240925502141944e+19
alpha,0.9,7.240925502141944e+19
alpha,1.0,7.240925502141944e+19
alpha,1.1,7.240925502141944e+19
alpha,1.2000000000000002,7.240925502141944e+19
alpha,1.3,7.240925502141944e+19
alpha,1.4000000000000001,7.240925502141944e+19
alpha,1.5,7.240925502141944e+19
alpha,1.6,7.240925502141944e+19
alpha,1.7000000000000002,7.240925502141944e+19
alpha,1.8,7.240925502141944e+19
alpha,1.9000000000000001,7.240925502141944e+19
alpha,2.0,7.240925502141944e+19
