param,grid,negloglik
beta0,0.05,7.2409255021420085e+19
beta0,0.0975,7.240925502141987e+19
beta0,0.14500000000000002,7.240925502141968e+19
beta0,0.1925,7.240925502141952e+19
beta0,0.24,7.240925502141945e+19
beta0,0.2875,7.240925502141944e+19
beta0,0.335,7.240925502141944e+19
beta0,0.3825,7.240925502141944e+19
beta0,0.43,7.240925502141944e+19
beta0,0.4775,7.240925502141944e+19
beta0,0.525,7.240925502141944e+19
beta0,0.5725,7.240925502141944e+19
beta0,0.6200000000000001,7.240925502141944e+19
beta0,0.6675000000000001,7.240925502141944e+19
beta0,0.7150000000000001,7.240925502141944e+19
beta0,0.7625000000000001,7.240925502141944e+19
beta0,0.81,7.240925502141944e+19
beta0,0.8575,7.240925502141944e+19
beta0,0.905,7.240925502141944e+19
beta0,0.9525,7.240925502141944e+19
beta0,1.0,7.240925502141944e+19
