mu,inc,y
5200.831354528924,0.0,527.0
5030.651923876195,1721.562698258087,825.0
4452.352969441475,1589.4273318704218,737.0
3575.3962407172658,1662.2992809843272,865.0
2708.0336098069383,1822.3032518737018,737.0
2047.7445832967355,2036.5358674414456,688.0
1637.3846338690057,2277.3650809209794,579.0
1437.067716587678,2517.185440827161,596.0
1385.940087679031,2728.8490635398775,743.0
1429.710458248973,2890.1308834180236,715.0
1526.6515550242889,2989.9778369423,922.0
1645.790228988079,3031.2622850574553,818.0
1764.390953149055,3027.2180981170386,640.0
1866.765940540184,2994.364286372438,571.0
1943.9321755372162,2946.886080959812,664.0
1993.8464401323786,2894.6040258612484,1054.0
2017.0356687727926,2843.4626962803304,916.0
2019.0294151379214,2796.766983155161,826.0
2005.8935819885216,2756.2186013422906,791.0
1983.4301942865427,2722.558646304533,600.0
1956.4283608705384,2695.9182087928057,491.0
1928.4444105188695,2676.009519856423,1075.0
1901.8902688679573,2662.244909904897,969.0
1878.2491538410263,2653.8271397780627,1033.0
1858.3060175398539,2649.829935207963,820.0
1842.3431001054255,2649.2727752178907,899.0
1830.2905708611765,2651.1885312348604,942.0
1821.8396213159958,2654.6807618290186,860.0
1816.528776226647,2658.9676936585456,986.0
1813.8117336181454,2663.4103892389685,1264.0
1813.111697887329,2667.524705454707,1151.0
1813.8646522289066,2670.980308935046,1305.0
1815.5525284379166,2673.585387557745,1331.0
1817.7265930108522,2675.2659576889127,1244.0
1820.0213339482984,2676.040190666914,1108.0
1822.159589301708,2675.9911674205214,1220.0
1823.950194645504,2675.242371439934,1942.0
1825.2798203061905,2673.936966540292,1612.0
1826.1009107700067,2672.221037764102,2272.0
1826.4176389946608,2670.231318078935,1903.0
1826.2715308405232,2668.0870082918555,1658.0
1825.7280207753681,2665.8866404145956,1413.0
1824.8648043565033,2663.7055230997503,1418.0
1823.7624786813412,2661.596898464486,1542.0
1822.4975772871167,2659.593768235296,1555.0
1821.137863651549,2657.7122640274465,1682.0
1819.7396082746354,2655.9552751425654,1432.0
1818.3465111235132,2654.315444106236,1230.0
1816.9898913513537,2652.778809122741,1056.0
1815.6897568347076,2651.3275951165706,1154.0
1814.4564237301215,2649.942796587944,1273.0
1813.2924183973557,2648.605558704585,1135.0
1812.194442060013,2647.2985494490713,1057.0
1811.1552184161264,2646.007125588134,1234.0
1810.1651179635373,2644.719812002033,840.0
1809.2135215751318,2643.4279874619097,904.0
1808.2899009910327,2642.125747496262,1037.0
1807.3845946000015,2640.809813434258,1104.0
1806.4892951297677,2639.4789330027997,1140.0
1805.5973012411566,2638.133456343785,1100.0
1804.7035820132537,2636.7748538013548,1113.0
1803.8046989875645,2635.405307529494,895.0
1802.8986293324663,2634.02732896246,836.0
1801.9845299715873,2632.6435011588037,855.0
1801.0624766084768,2631.256271308288,885.0
1800.1332053158733,2629.8677718527615,927.0
1799.1978759230499,2628.4797447659075,1015.0
1798.2578675305194,2627.0935565531254,1022.0
1797.3146128366473,2625.710191272199,718.0
1796.3694752297565,2624.330188650638,683.0
1795.4236649845645,2622.953841302544,729.0
1794.4781877810672,2621.5813475474715,818.0
1793.5338261719476,2620.212319687009,867.0
1792.5911438857531,2618.8465035576373,892.0
1791.6504951021832,2617.4835714232177,886.0
1790.7120491147336,2616.123511940241,626.0
1789.7758360018788,2614.765660142526,539.0
1788.8417952650823,2613.409798545763,562.0
1787.9098001857806,2612.055662823841,618.0
1786.9796787719506,2610.70288746804,786.0
1786.0512357441885,2609.3514411896467,618.0
1785.1242703663297,2608.001212541014,591.0
1784.1985967781045,2606.652136726305,431.0
1783.2740584279052,2605.30418686755,376.0
1782.3505323803129,2603.9573649540544,380.0
1781.4279278287027,2602.6116937212646,459.0
1780.506182691352,2601.2672091834247,452.0
1779.585259736421,2599.923954065889,428.0
1778.66514231455,2598.581972312182,376.0
1777.7458299536902,2597.2413050048053,317.0
1776.82733391426,2595.9019876550883,237.0
1775.9096731270947,2594.5640487466007,267.0
1774.9928704558608,2593.227509148419,302.0
1774.076949715748,2591.8923822622746,298.0
1773.1619334107836,2590.5586746558547,269.0
1772.247841126909,2589.226387081668,233.0
1771.334688631353,2587.8955156840384,199.0
1770.4224874797467,2586.566053222865,165.0
1769.5112450503584,2585.237990234047,161.0
1768.6009648892766,2583.91131603159,204.0
1767.6916472568942,2582.5860195290297,253.0
1766.7832897789142,2581.262089893222,205.0
1765.875888123108,2579.9395170155913,164.0
1764.9694366439026,2578.6182917449623,142.0
1764.0639289549772,2577.2984060645103,122.0
1763.1593584050524,2575.9798530600965,113.0
1762.2557184468437,2574.6626268699765,167.0
1761.3530028994278,2573.346722541377,169.0
1760.4512061128244,2572.032135857269,179.0
1759.550323048582,2570.7188631780446,135.0
1758.6503492927654,2569.4069012422115,93.0
1757.7512810186754,2568.0962470378727,97.0
1756.8531149153578,2566.7868976648897,102.0
1755.9558480969404,2565.4788502100855,110.0
1755.059478004678,2564.172101713717,86.0
1754.1640023107398,2562.866649100557,81.0
1753.2694188314758,2561.562489140779,101.0
1752.3757254540517,2560.2596184741706,75.0
1751.4829200778565,2558.958033597097,55.0
1750.5910005376236,2557.6576894186437,95.0
1749.6999637418667,2556.358560854569,109.0
1748.8098038228309,2555.060851274058,78.0
1747.9205154895128,2553.764372587204,73.0
1747.032100245598,2552.4691606499255,53.0
1746.1445612516864,2551.175211986527,52.0
1745.2578983866067,2549.882522687316,37.0
1744.3721087094602,2548.5910888593644,95.0
1743.487188312577,2547.3009066749364,80.0
1742.6031334005586,2546.011972365901,99.0
1741.7199405809217,2544.7242822218686,62.0
1740.837606811343,2543.437832571566,65.0
1739.9561292796982,2542.152619767934,64.0
1739.0755053106207,2540.868640206754,60.0
1738.195732309218,2539.58589030616,52.0
1737.316807735439,2538.304366512224,88.0
1736.4387290840023,2537.0240652877837,85.0
1735.561493852385,2535.744983116165,98.0
1734.6850995916811,2534.4671164937317,81.0
