param,grid,negloglik
beta0,0.05,31184802797410.324
beta0,0.0975,31184802804274.742
beta0,0.14500000000000002,31184802809366.832
beta0,0.1925,31184802797323.574
beta0,0.24,31184802802987.297
beta0,0.2875,31184802801528.473
beta0,0.335,31184802804627.746
beta0,0.3825,31184802805392.23
beta0,0.43,31184802805088.59
beta0,0.4775,31184803489757.586
beta0,0.525,31184802802629.832
beta0,0.5725,31184802804499.43
beta0,0.6200000000000001,31184802802747.41
beta0,0.6675000000000001,31184802804945.86
beta0,0.7150000000000001,31184802802648.332
beta0,0.7625000000000001,31184802803064.707
beta0,0.81,31184802801815.81
beta0,0.8575,31184802801622.105
beta0,0.905,31184802801682.953
beta0,0.9525,31184802801780.38
beta0,1.0,31184802801865.133
