param,grid,negloglik
alpha,0.0,31184802802728.797
alpha,0.1,31184802802232.34
alpha,0.2,31184802801952.594
alpha,0.30000000000000004,31184802801801.63
alpha,0.4,31184802801710.105
alpha,0.5,31184802801651.863
alpha,0.6000000000000001,31184802801614.824
alpha,0.7000000000000001,31184802801592.47
alpha,0.8,31184802801580.875
alpha,0.9,31184802801577.504
alpha,1.0,31184802801580.613
alpha,1.1,31184802801588.97
alpha,1.2000000000000002,31184802801601.65
alpha,1.3,31184802801617.957
alpha,1.4000000000000001,31184802801637.355
alpha,1.5,31184802801659.42
alpha,1.6,31184802801683.816
alpha,1.7000000000000002,31184802801710.258
alpha,1.8,31184802801731.715
alpha,1.9000000000000001,31184802801768.426
alpha,2.0,31184802801799.81
