,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,100
I0_anchor,10356.085987232074
C0_anchor,2188.6924502422285
R0_anchor,1658191.9744417025
P0_anchor,2.4091397793695746e-05
F0_anchor,2.713075206293865e-05
beta0,0.8961751415666674
gamma,0.49999955
alpha,0.6160990341410959
rho_obs,0.29060813630273874
delta,0.0844489861252603
k,5.45535697148373
log_theta,0.4316714359422654
I0,1999.998001
C0,1999.998001
P0,0.0713388302937926
F0,0.016455293673427636
R0,2000.0
a1,0.04408094467347592
b1,0.02318795609320206
a2,-0.07880355603353904
b2,0.020452717193640044
delay_mean,3.070324381444843
