mu,inc,y
671.1239111459836,0.0,59.0
541.8256109168012,1779.3104126416147,93.0
454.4430442295522,1883.3171627428383,111.0
416.8677988195374,1993.1439300477505,94.0
410.8339711821758,2109.084504418075,131.0
421.6337071542683,2231.443609090522,114.0
440.92712239197726,2360.5367773454636,97.0
464.64113931187813,2496.690162513405,66.0
490.98057025384566,2640.2402535472065,123.0
519.2356196903655,2791.5334828197956,119.0
549.1752018897233,2950.925712088123,132.0
580.7661037734151,3118.781581910327,150.0
614.051826267022,3295.473708666861,170.0
649.1035834875242,3481.381712052971,158.0
686.0018433029772,3676.8910575583577,136.0
724.901686235754,3882.391692560166,177.0
765.7288476635118,4098.276453107595,204.0
808.6568091220807,4324.939237503335,275.0
853.7699881510908,4562.772905740887,286.0
901.1533068468926,4812.16689266637,266.0
950.8917803764404,5073.504561442882,268.0
1003.0700483348218,5347.16017052345,217.0
1057.771843548541,5633.495526606217,284.0
1115.079387922414,5932.855798462406,390.0
1175.0727258326356,6245.567149657756,391.0
1237.8290006975587,6571.929951434955,409.0
1303.4216208589696,6912.215425612405,401.0
1371.9193603785554,7266.660098602995,417.0
1443.3853984511713,7635.461317643523,330.0
1517.8762493572742,8018.766654385254,410.0
1595.4405562698605,8416.673465963453,424.0
1676.1179124688208,8829.220421422273,493.0
1759.9375943648945,9256.378687933087,604.0
1846.9171666111615,9698.046257082373,525.0
1937.0610328926207,10154.040422251448,383.0
2030.3589401123859,10624.0902795773,332.0
2126.7844396818336,11107.829346820712,413.0
2226.293319727208,11604.788265414536,537.0
2328.8220257017297,12114.387751242146,647.0
2434.2860897956175,12635.931885350496,641.0
2542.5785800069434,13168.600999318063,505.0
2653.5686079399743,13711.448341017589,503.0
2767.1000057275955,14263.397192988545,418.0
2882.9901096155427,14823.230332667008,570.0
3001.0285755884815,15389.593577951193,706.0
3120.9765165163594,15960.99745853059,711.0
3242.5658099426223,16535.802159478888,760.0
3365.49851670723,17112.241694273427,654.0
3489.447001121207,17688.420516734943,631.0
3614.054333147825,18262.314411379397,485.0
3738.9348859620104,18831.784623146057,601.0
3863.675393147964,19394.587906326167,630.0
3987.8364877405984,19948.39069847297,765.0
4110.954771554402,20490.787517383695,961.0
4232.545361924715,21019.312146514654,879.0
4352.104805949071,21531.4632969331,656.0
4469.114542194454,22024.72538835276,616.0
4583.044827816469,22496.590888942592,679.0
4693.359097926852,22944.588907580823,749.0
4799.518760044869,23366.308141996153,834.0
4900.988255614638,23759.42314987816,819.0
4997.240347009889,24121.721829160117,809.0
5087.761613868431,24451.13240211364,641.0
5172.0580398368475,24745.74536073953,623.0
5249.660495281586,25003.836309576407,644.0
5320.130129202453,25223.893709614873,614.0
5383.063667159729,25404.63328838162,783.0
5438.098330005101,25545.015316485427,721.0
5484.916273044879,25644.255701875314,780.0
5523.248490811066,25701.839437156916,581.0
5552.878177191221,25717.52332552336,493.0
5573.64337538699,25691.339095152915,499.0
5585.438892932817,25623.59141111467,566.0
5588.217445147816,25514.852281396277,710.0
5581.990004726541,25365.951836443506,587.0
5566.825353834664,25177.96573637426,624.0
5542.848845266992,24952.19883496873,396.0
5510.240394904448,24690.166845737956,439.0
5469.231874435728,24393.58363099862,478.0
5420.103887612546,24064.321569602937,534.0
5363.18173633776,23704.402707331814,613.0
5298.831086580177,23315.967272682115,628.0
5227.453293850031,22901.25458447449,598.0
5149.480514982649,22462.572983407415,530.0
5065.370500115014,22002.27318126615,421.0
4975.6012709304805,21522.732614926063,432.0
4880.665957685736,21026.328108469956,583.0
4781.067690944399,20515.415786245838,641.0
4677.314644266613,19992.31233839225,689.0
4569.915328135002,19459.277848753147,792.0
4459.37420189244,18918.50107721053,427.0
4346.187640425463,18372.085209459066,350.0
4230.840236168016,17822.03500515595,421.0
4113.801514794628,17270.25291077979,499.0
3995.5231595760274,16718.52722990513,411.0
3876.436599741014,16168.528095407411,411.0
3756.951006345497,15621.803699038923,447.0
3637.4517353622837,15079.781054213643,376.0
3518.2992219276052,14543.76332055498,342.0
3399.828177610546,14014.928561644629,379.0
3282.3470868684676,13494.335812486708,453.0
3166.138066324492,12982.924591304734,474.0
3051.456971910997,12481.520438422449,556.0
2938.533798578919,11990.841225773096,542.0
2827.5733429616957,11511.500405746512,538.0
2718.756012355452,11044.01257798355,491.0
2612.2387520812076,10588.798993661068,484.0
2508.156098631317,10146.195298419334,535.0
2406.6213563751903,9716.456065092236,641.0
2307.7277852476614,9299.758632929064,667.0
2211.54986241058,8896.218015013263,597.0
2118.14468587478,8505.88299341686,586.0
2027.553244058301,8128.746788532473,502.0
1939.8016980699701,7764.751737552695,525.0
1854.902666355545,7413.795474905521,723.0
1772.8564846528402,7075.734638644382,677.0
1693.6524019218587,6750.390711589716,699.0
1617.2697396204073,6437.554486515932,716.0
1543.6789970227405,6136.989769848064,511.0
1472.8428903819165,5848.437960703857,542.0
1404.7173394616086,5571.621411999688,593.0
1339.2523876695877,5306.246674232185,707.0
1276.3930448319538,5052.006988596171,793.0
1216.0800755376897,4808.5872210897505,720.0
1158.250753528682,4575.66392136924,766.0
1102.8395183390387,4352.908748985268,724.0
1049.7785779498079,4139.990370480344,662.0
998.9984611980271,3936.5763325346634,740.0
950.4285184736119,3742.3345566857606,885.0
903.9973687540136,3556.934770721011,988.0
859.6332982484575,3380.0498085599393,1173.0
817.2646158071638,3211.356677194126,1008.0
776.8199669292145,3050.5374646754935,817.0
738.228608525272,2897.2801372352988,719.0
701.4206476684484,2751.279196814634,922.0
666.3272474533908,2612.236243825406,1112.0
