param,grid,negloglik
alpha,0.0,5530456342194.411
alpha,0.1,5530456247908.515
alpha,0.2,5530456247856.394
alpha,0.30000000000000004,5530456247892.742
alpha,0.4,5530456247962.515
alpha,0.5,5530456248051.196
alpha,0.6000000000000001,5530456248151.8125
alpha,0.7000000000000001,5530456342157.553
alpha,0.8,5530456248631.017
alpha,0.9,5530456248491.752
alpha,1.0,5530456248160.3125
alpha,1.1,5530456247880.8545
alpha,1.2000000000000002,5530456248856.729
alpha,1.3,5530456248420.156
alpha,1.4000000000000001,5530456249104.704
alpha,1.5,5530456247815.802
alpha,1.6,5530456249353.538
alpha,1.7000000000000002,5530456249161.186
alpha,1.8,5530456249398.916
alpha,1.9000000000000001,5530456249725.735
alpha,2.0,5530456249849.163
