param,grid,negloglik
beta0,0.05,5530456247316.973
beta0,0.0975,5530456246993.032
beta0,0.14500000000000002,5530456246985.367
beta0,0.1925,5530460917452.979
beta0,0.24,5530456246984.695
beta0,0.2875,5530456246985.663
beta0,0.335,5530460550389.502
beta0,0.3825,5530460387998.87
beta0,0.43,5530460094708.148
beta0,0.4775,5530456260087.085
beta0,0.525,5530459042368.104
beta0,0.5725,5530456279858.464
beta0,0.6200000000000001,5530456594294.518
beta0,0.6675000000000001,5530456343644.211
beta0,0.7150000000000001,5530456247340.642
beta0,0.7625000000000001,5530456248595.465
beta0,0.81,5530456248315.694
beta0,0.8575,5530456248187.913
beta0,0.905,5530456247876.781
beta0,0.9525,5530456247781.844
beta0,1.0,5530456247793.949
