param,grid,negloglik
k,0.5,5530456248121.425
k,0.9791666666666667,5530456248231.056
k,1.4583333333333335,5530456247843.104
k,1.9375,5530456248433.205
k,2.416666666666667,5530456248358.441
k,2.8958333333333335,5530456249666.827
k,3.375,5530456248557.321
k,3.854166666666667,5530456249448.92
k,4.333333333333334,5530456249465.95
k,4.8125,5530456249480.178
k,5.291666666666667,5530456247197.958
k,5.770833333333334,5530456249479.792
k,6.25,5530456249493.944
k,6.729166666666667,5530456249512.398
k,7.208333333333334,5530456249533.874
k,7.6875,5530456249554.958
k,8.166666666666668,5530456249572.617
k,8.645833333333334,5530456247164.209
k,9.125,5530456247160.793
k,9.604166666666668,5530456249624.248
k,10.083333333333334,5530456247156.893
k,10.5625,5530456249641.322
k,11.041666666666668,5530456247153.283
k,11.520833333333334,5530456249575.874
k,12.0,5530456249689.168
