,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,1.0e6
I0_anchor,309.2828532860261
C0_anchor,63.57406355647494
R0_anchor,56421.21025250797
P0_anchor,0.3534799023677346
F0_anchor,0.3661085380381095
beta0,0.1969218882448338
gamma,0.28276623412349927
alpha,0.493848199881541
rho_obs,0.775561543236124
delta,0.8476812872525061
k,2.667524764253818
log_theta,1.2228037246969305
I0,100.0
C0,63.84231698875007
P0,0.3916488732308784
F0,0.5554844159911873
R0,100.0
a1,0.4115543982129614
b1,0.07983492539921921
a2,-0.1721209089293551
b2,-0.13500594383521522
delay_mean,4.740590286003228
