f,Pxx
0.0,31.695630299426625
0.0055248618784530384,20.772604650789074
0.011049723756906077,0.1252504555684062
0.016574585635359115,0.07265583956587843
0.022099447513812154,0.03856264577645788
0.027624309392265192,0.01990599743563559
0.03314917127071823,0.01037171602188235
0.03867403314917127,0.005558516344706625
0.04419889502762431,0.003087973250640748
0.049723756906077346,0.0017814238389150926
0.055248618784530384,0.001065955465372421
0.06077348066298342,0.0006599703993013251
0.06629834254143646,0.00042155975536502737
0.0718232044198895,0.0002769862647175695
0.07734806629834254,0.00018668066600765413
0.08287292817679558,0.00012872359479743203
0.08839779005524862,9.059808743133297e-05
0.09392265193370165,6.494918290391038e-05
0.09944751381215469,4.733873177346177e-05
0.10497237569060773,3.502147183849975e-05
0.11049723756906077,2.626020189694273e-05
0.11602209944751381,1.9932068802877385e-05
0.12154696132596685,1.5297113046572123e-05
0.1270718232044199,1.1858766014803396e-05
0.13259668508287292,9.278187034895528e-06
0.13812154696132595,7.320579380049002e-06
0.143646408839779,5.820939770632373e-06
0.14917127071823205,4.661671628196826e-06
0.15469613259668508,3.7580523756726994e-06
0.1602209944751381,3.0482170482477126e-06
0.16574585635359115,2.4866233232950123e-06
0.1712707182320442,2.0393264370382158e-06
0.17679558011049723,1.6808628318479444e-06
0.18232044198895025,1.3918899763137637e-06
0.1878453038674033,1.1576888775748691e-06
0.19337016574585636,9.668739078376539e-07
0.19889502762430938,8.106735434987705e-07
0.2044198895027624,6.822232602107089e-07
0.20994475138121546,5.761296218676375e-07
0.2154696132596685,4.881402325283797e-07
0.22099447513812154,4.1488867473541765e-07
0.22651933701657456,3.5367749483133376e-07
0.23204419889502761,3.023456163353941e-07
0.23756906077348067,2.591545410404851e-07
0.2430939226519337,2.226915251365696e-07
0.24861878453038672,1.9182039664517053e-07
0.2541436464088398,1.6559796641579318e-07
0.2596685082872928,1.4327186938370806e-07
0.26519337016574585,1.2419730896873447e-07
0.27071823204419887,1.0787088342804253e-07
0.2762430939226519,9.385591066845044e-08
0.281767955801105,8.17969607139134e-08
0.287292817679558,7.139634882458859e-08
0.292817679558011,6.240550880143164e-08
0.2983425414364641,5.4617161661731666e-08
0.30386740331491713,4.785893018870767e-08
0.30939226519337015,4.1978216139298416e-08
0.3149171270718232,3.6853163506779185e-08
0.3204419889502762,3.237892482377132e-08
0.3259668508287293,2.8467835361953547e-08
0.3314917127071823,2.5039718858930823e-08
0.33701657458563533,2.2032279487268413e-08
0.3425414364640884,1.938845102765754e-08
0.34806629834254144,1.7062610122972875e-08
0.35359116022099446,1.5011548330936627e-08
0.3591160220994475,1.3201888239511436e-08
0.3646408839779005,1.1602959874355562e-08
0.3701657458563536,1.0187732779085727e-08
0.3756906077348066,8.936452207061836e-09
0.38121546961325964,7.82558331836345e-09
0.3867403314917127,6.842018067953746e-09
0.39226519337016574,5.968150332973711e-09
0.39779005524861877,5.192623668758175e-09
0.4033149171270718,4.504476649388276e-09
0.4088397790055248,3.893328724703623e-09
0.4143646408839779,3.3508314264607573e-09
0.4198895027624309,2.8694503344877153e-09
0.42541436464088395,2.443947891823231e-09
0.430939226519337,2.0672104237933764e-09
0.43646408839779005,1.735346379874965e-09
0.4419889502762431,1.443872786086934e-09
0.4475138121546961,1.188874314310266e-09
0.4530386740331491,9.67729158608982e-10
0.4585635359116022,7.771823501313767e-10
0.46408839779005523,6.152175194579636e-10
0.46961325966850825,4.795684927952354e-10
0.47513812154696133,3.6912042144832085e-10
0.48066298342541436,2.8217434253606717e-10
0.4861878453038674,2.1781279014275216e-10
0.4917127071823204,1.7542991093872258e-10
0.49723756906077343,1.54206111449079e-10
