param,grid,negloglik
alpha,0.0,3172122526693369.0
alpha,0.1,3172122526692887.0
alpha,0.2,3172122526693022.0
alpha,0.30000000000000004,3172122523737216.0
alpha,0.4,3172122526692740.5
alpha,0.5,3172122526692585.5
alpha,0.6000000000000001,3172122523734291.5
alpha,0.7000000000000001,3172122526692680.0
alpha,0.8,3172122523736769.0
alpha,0.9,3172122526692742.5
alpha,1.0,3172122523736744.0
alpha,1.1,3172122523839100.5
alpha,1.2000000000000002,3172122523736769.0
alpha,1.3,3172122526693027.0
alpha,1.4000000000000001,3172122523865123.0
alpha,1.5,3172122526692738.0
alpha,1.6,3172122526692762.5
alpha,1.7000000000000002,3172122537998135.0
alpha,1.8,3172122524118464.0
alpha,1.9000000000000001,3172122526693623.0
alpha,2.0,3172122528302398.0
