param,grid,negloglik
beta0,0.05,3172122524119558.5
beta0,0.0975,3172122527623802.0
beta0,0.14500000000000002,3172122527274345.0
beta0,0.1925,3172122526749827.0
beta0,0.24,3172122526078285.5
beta0,0.2875,3172122523736757.0
beta0,0.335,3172122524455791.0
beta0,0.3825,3172122523736392.5
beta0,0.43,3172122523759144.0
beta0,0.4775,3172122523736952.5
beta0,0.525,3172122523735835.0
beta0,0.5725,3172122523735716.0
beta0,0.6200000000000001,3172122523735750.0
beta0,0.6675000000000001,3172122523735821.0
beta0,0.7150000000000001,3172122523735889.0
beta0,0.7625000000000001,3172122523735929.5
beta0,0.81,3172122523735932.0
beta0,0.8575,3172122523735903.0
beta0,0.905,3172122523735855.0
beta0,0.9525,3172122523735812.0
beta0,1.0,3172122523735839.0
