param,grid,negloglik
k,0.5,3172122526731347.5
k,0.9791666666666667,3172122525203228.5
k,1.4583333333333335,3172122523737199.0
k,1.9375,3172122526705535.0
k,2.416666666666667,3172122525513162.5
k,2.8958333333333335,3172122526686862.0
k,3.375,3172122537913701.5
k,3.854166666666667,3172122523749650.0
k,4.333333333333334,3172122523736817.5
k,4.8125,3172122527018393.5
k,5.291666666666667,3172122526645579.0
k,5.770833333333334,3172122524099841.5
k,6.25,3172122526626787.0
k,6.729166666666667,3172122528117484.5
k,7.208333333333334,3172122523750566.0
k,7.6875,3172122523743488.0
k,8.166666666666668,3172122526589310.0
k,8.645833333333334,3172122523778576.0
k,9.125,3172122526570627.5
k,9.604166666666668,3172122526561412.5
k,10.083333333333334,3172122526552044.0
k,10.5625,3172122526542563.5
k,11.041666666666668,3172122526533442.0
k,11.520833333333334,3172122524102396.0
k,12.0,3172122523735942.5
