param,grid,negloglik
beta0,0.05,2.096396151095038e+17
beta0,0.0975,2.0963961510939683e+17
beta0,0.14500000000000002,2.096396151093012e+17
beta0,0.1925,2.096396151091919e+17
beta0,0.24,2.096396151090399e+17
beta0,0.2875,2.096396151088147e+17
beta0,0.335,2.0963961510850973e+17
beta0,0.3825,2.0963961510811014e+17
beta0,0.43,2.0963961510751133e+17
beta0,0.4775,2.096396151064101e+17
beta0,0.525,2.0963961510432512e+17
beta0,0.5725,2.0963961510128643e+17
beta0,0.6200000000000001,2.0963961510108698e+17
beta0,0.6675000000000001,2.0963961510107562e+17
beta0,0.7150000000000001,2.0963961510107248e+17
beta0,0.7625000000000001,2.0963961510107075e+17
beta0,0.81,2.0963961510106947e+17
beta0,0.8575,2.0963961510106848e+17
beta0,0.905,2.0963961510106774e+17
beta0,0.9525,2.0963961510106714e+17
beta0,1.0,2.0963961510106666e+17
