mu,inc,y
1e-12,0.0,3009.0
87.03283811030188,156.7069239206612,2392.0
117.98397435597019,212.43597353249788,2292.0
160.81837284446075,289.56142377480865,3439.0
220.24319560648976,396.5587523896247,3770.0
302.70945056712867,545.0433177873492,3566.0
416.7862415155119,750.4442146029323,3599.0
573.1923695375906,1032.0611736364663,2977.0
783.7649657543063,1411.207534154877,2622.0
1057.937738676321,1904.8691543005407,2463.0
1394.7076842433376,2511.240075720474,2930.0
1769.588368591402,3186.231264758855,3578.0
2124.2761546599872,3824.864143036306,3469.0
2381.1759456702307,4287.42490606755,2946.0
2496.527773876725,4495.121570445597,2341.0
2502.9527283772372,4506.690018378198,1809.0
2473.5891263896424,4453.819402612746,1632.0
2456.0354402204334,4422.213123617694,2099.0
2459.4653296619,4428.388808973134,2788.0
2477.1236961006202,4460.183569964021,2959.0
2501.869295866124,4504.739244626835,2416.0
2529.601144590784,4554.671808043495,2133.0
2558.4211552678553,4606.563660804182,1431.0
2587.5305764438613,4658.976611463353,1457.0
2616.602580864345,4711.322191406041,1986.0
2645.498968768963,4763.3515651375055,1962.0
2674.1538303901184,4814.946058865637,1812.0
2702.5287268400516,4866.036461474374,1770.0
2730.5954172536126,4916.571923891082,1444.0
2758.329467505476,4966.508451266214,1046.0
2785.7078528597003,5015.804586425424,921.0
2812.708032605488,5064.419743705541,1552.0
2839.307661291483,5112.313689017668,1596.0
2865.4844844742993,5159.446352137253,1305.0
2891.216320218787,5205.777793394402,1251.0
2916.4810759777597,5251.268234066665,1050.0
2941.2567771459057,5295.8781077917665,736.0
2965.5216016251093,5339.568122804165,721.0
2989.253918137712,5382.299330919981,967.0
3012.432319047687,5424.03318663314,1123.0
3035.0356602546008,5464.731618946418,941.0
3057.043105335178,5504.357110850513,858.0
3078.434161224831,5542.872763570398,782.0
3099.1887117153847,5580.242356879637,605.0
3119.287062719066,5616.43043060042,539.0
3138.70998020314,5651.402352906764,738.0
3157.4387251742,5685.124383315444,710.0
3175.4550927735017,5717.563743079081,643.0
3192.7414488584986,5748.688681052998,558.0
3209.2807660381645,5778.4685385786,530.0
3225.0566588465904,5806.8738128151745,392.0
3240.053417836578,5833.876218127087,406.0
3254.2558133146717,5859.448332699016,576.0
3267.649784683031,5883.564839730039,682.0
3280.2221289067375,5906.201966503635,698.0
3291.959972091569,5927.336532937363,590.0
3302.8518173408274,5946.947838300839,534.0
3312.885901415658,5965.014702301472,434.0
3322.0521051741302,5981.518904924393,423.0
3330.341601672861,5996.4445528220385,692.0
