,0
N,8800000
rho,0.095
epsilon,0.25
phi,0.25
compliance_max,0.8
beta_floor,0.1
obs,"{'delay_sd': 2.0, 'delay_maxlag': 14}"
y0_anchor_weight,1.0e6
I0_anchor,8854.61646704874
C0_anchor,2519.0875172453952
R0_anchor,457874.092546797
P0_anchor,0.3825160455307327
F0_anchor,0.38449413050589426
beta0,1.410983634951088
gamma,0.3803624878278217
alpha,1.265604750895199
rho_obs,0.5553860412343078
delta,0.03226076024958861
k,5.539125740577103
log_theta,0.548706737117731
I0,100.0
C0,100.0
P0,0.20737388079238905
F0,0.4851296888661279
R0,100.0
a1,-0.2480772746995491
b1,-0.27630881959531145
a2,0.09532659839546247
b2,-0.020187061310466676
delay_mean,4.999997
