param,grid,negloglik
k,0.5,84287075546.11719
k,0.9791666666666667,84287075508.6052
k,1.4583333333333335,84287075346.21764
k,1.9375,84287075384.76778
k,2.416666666666667,84287075359.3677
k,2.8958333333333335,84287075359.428
k,3.375,84287075337.33015
k,3.854166666666667,84287075371.24376
k,4.333333333333334,84287075354.88658
k,4.8125,84287075367.17517
k,5.291666666666667,84287075362.07182
k,5.770833333333334,84287075353.0145
k,6.25,84287075356.14394
k,6.729166666666667,84287075336.48384
k,7.208333333333334,84287075336.49976
k,7.6875,84287075351.62077
k,8.166666666666668,84287075354.57364
k,8.645833333333334,84287075363.07695
k,9.125,84287075342.63458
k,9.604166666666668,84287075360.76804
k,10.083333333333334,84287075334.3207
k,10.5625,84287075670.39604
k,11.041666666666668,84287075347.85063
k,11.520833333333334,84287075356.40398
k,12.0,84287075351.68404
