param,grid,negloglik
alpha,0.0,84287075641.72351
alpha,0.1,84287075372.54745
alpha,0.2,84287075764.75203
alpha,0.30000000000000004,84287075658.02719
alpha,0.4,84287075670.59041
alpha,0.5,84287075868.18373
alpha,0.6000000000000001,84287077572.3703
alpha,0.7000000000000001,84287075488.93465
alpha,0.8,84287075350.98866
alpha,0.9,84287075339.05539
alpha,1.0,84287075361.55743
alpha,1.1,84287075382.94377
alpha,1.2000000000000002,84287075354.94981
alpha,1.3,84287075401.48221
alpha,1.4000000000000001,84287075359.75331
alpha,1.5,84287075855.16347
alpha,1.6,84287075339.34366
alpha,1.7000000000000002,84287075373.00769
alpha,1.8,84287075359.7079
alpha,1.9000000000000001,84287075364.79112
alpha,2.0,84287075360.65224
