param,grid,negloglik
beta0,0.05,84287095686.59018
beta0,0.0975,84287079645.54376
beta0,0.14500000000000002,84287076829.41365
beta0,0.1925,84287076164.72823
beta0,0.24,84287075959.2751
beta0,0.2875,84287075810.001
beta0,0.335,84287075875.07893
beta0,0.3825,84287075610.125
beta0,0.43,84287075736.66663
beta0,0.4775,84287075828.28748
beta0,0.525,84287075519.01518
beta0,0.5725,84287075495.50072
beta0,0.6200000000000001,84287075541.32005
beta0,0.6675000000000001,84287075459.27849
beta0,0.7150000000000001,84287075501.6457
beta0,0.7625000000000001,84287075432.70012
beta0,0.81,84287075471.42769
beta0,0.8575,84287075458.88036
beta0,0.905,84287075403.98172
beta0,0.9525,84287075396.2763
beta0,1.0,84287075400.08386
