param,grid,negloglik
alpha,0.0,21363247354096.09
alpha,0.1,21363247353576.156
alpha,0.2,21363247353305.113
alpha,0.30000000000000004,21363247353157.26
alpha,0.4,21363247353065.766
alpha,0.5,21363247353005.56
alpha,0.6000000000000001,21363247352965.094
alpha,0.7000000000000001,21363247352938.152
alpha,0.8,21363247352921.023
alpha,0.9,21363247352911.305
alpha,1.0,21363247352907.363
alpha,1.1,21363247352908.04
alpha,1.2000000000000002,21363247352912.48
alpha,1.3,21363247352920.047
alpha,1.4000000000000001,21363247352930.234
alpha,1.5,21363247352942.66
alpha,1.6,21363247352957.008
alpha,1.7000000000000002,21363247352973.027
alpha,1.8,21363247352990.508
alpha,1.9000000000000001,21363247353009.28
alpha,2.0,21363247353029.207
