param,grid,negloglik
k,0.5,21363247352975.47
k,0.9791666666666667,21363247352867.453
k,1.4583333333333335,21363247352942.812
k,1.9375,21363247353199.977
k,2.416666666666667,21363247353080.336
k,2.8958333333333335,21363247353456.3
k,3.375,21363247353406.965
k,3.854166666666667,21363247354259.547
k,4.333333333333334,21363247354394.547
k,4.8125,21363247354591.887
k,5.291666666666667,21363247354589.27
k,5.770833333333334,21363247354569.27
k,6.25,21363247354580.91
k,6.729166666666667,21363247354593.258
k,7.208333333333334,21363247354600.72
k,7.6875,21363247352875.098
k,8.166666666666668,21363247356547.84
k,8.645833333333334,21363247354847.863
k,9.125,21363247354902.656
k,9.604166666666668,21363247354760.61
k,10.083333333333334,21363247354883.863
k,10.5625,21363247352877.49
k,11.041666666666668,21363247354629.188
k,11.520833333333334,21363247354831.785
k,12.0,21363247354812.48
